year,scenario,route_weight,current_feed_coefficient,physical_price_yield_feed_coefficient,absolute_coefficient_difference,relative_difference_fraction,current_adv_biogas_eur_per_t_methanol,physical_adv_biogas_eur_per_t_methanol,unexplained_residual_eur_per_t_methanol,aggregated_adv_bio_hfo_adv_biogas_coefficient_current,aggregated_adv_bio_hfo_adv_biogas_coefficient_physical,aggregated_coefficient_difference,interpretation
2030,S1,0.473714,0.459810250267380,0.459810282277532,-0.000000032010152,-0.000000069615892,429.922584000000,429.922613929493,-0.000029929493,0.217818552895161,0.217818568058819,-0.000000015163657,rounding_equivalent_to_physical_cost
2030,S2,0.368481,0.757218994652406,0.459810282277532,0.297408712374874,0.646807441760284,707.999760000000,429.922613929493,278.077146070507,0.279020812368513,0.169431352623907,0.109589459744606,allocation_residual_requires_sensitivity
2030,S3,0.577605,0.757218994652406,0.459810282277532,0.297408712374874,0.646807441760284,707.999760000000,429.922613929493,278.077146070507,0.437373477406203,0.265588718094914,0.171784759311289,allocation_residual_requires_sensitivity
2035,S1,0.485839,0.459810250267380,0.459810282277532,-0.000000032010152,-0.000000069615892,429.922584000000,429.922613929493,-0.000029929493,0.223393752179653,0.223393767731434,-0.000000015551781,rounding_equivalent_to_physical_cost
2035,S2,0.411578,0.757218994652406,0.459810282277532,0.297408712374874,0.646807441760284,707.999760000000,429.922613929493,278.077146070507,0.311654679381048,0.189247796359222,0.122406883021826,allocation_residual_requires_sensitivity
2035,S3,0.566210,0.757218994652406,0.459810282277532,0.297408712374874,0.646807441760284,707.999760000000,429.922613929493,278.077146070507,0.428744966962139,0.260349179928362,0.168395787033777,allocation_residual_requires_sensitivity
2040,S1,0.485836,0.757218994652406,0.459810282277532,0.297408712374874,0.646807441760284,707.999760000000,429.922613929493,278.077146070507,0.367884247485947,0.223392388300587,0.144491859185359,allocation_residual_requires_sensitivity
2040,S2,0.582351,0.459810250267380,0.459810282277532,-0.000000032010152,-0.000000069615892,429.922584000000,429.922613929493,-0.000029929493,0.267770959053459,0.267770977694603,-0.000000018641144,rounding_equivalent_to_physical_cost
2040,S3,0.572128,0.459810250267380,0.459810282277532,-0.000000032010152,-0.000000069615892,429.922584000000,429.922613929493,-0.000029929493,0.263070318864975,0.263070337178880,-0.000000018313905,rounding_equivalent_to_physical_cost
