sector_position,sector,boundary,denominator_role,extension,stressor,unit,value,monetary_output,intensity
3,CPA_A03,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,140374.50781168055,7819.239999999999,17.952449063039445
4,CPA_B,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,6864926.919438136,581888.71,11.797663026385466
5,CPA_C10-12,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,380946.7539415087,90352.11000000002,4.216246349327189
6,CPA_C13-15,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,633984.0065028919,153099.01,4.141006571517948
7,CPA_C16,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,225218.83929956763,20378.450000000004,11.051814014292923
8,CPA_C17,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,104218.28787415854,18004.19,5.7885574343615875
9,CPA_C18,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,15627.457002842646,5750.39,2.7176342826908515
10,CPA_C19,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,1437656.429085378,75461.52000000003,19.051516972960233
11,CPA_C20_BIODIESEL,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,18494.1071531514,1286.9148611645155,14.370886304332736
12,CPA_C20_BIOGASOLINE,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,17256.687368221334,1953.8375385762604,8.832201770878086
13,CPA_C20_OTHER_LIQUID_BIOFUELS,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,134.3085100750728,38.32897869508868,3.504098325799707
14,CPA_C20_others,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,1104883.2126326791,137204.6686215641,8.052810620316073
15,CPA_C21,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,495579.0325619254,80970.94,6.120455469109355
16,CPA_C22,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,520266.3159001373,51295.76000000001,10.142481871798708
17,CPA_C23,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,907373.1135484984,28480.120000000003,31.859876768373812
18,CPA_C24,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,2305515.934951787,82886.70000000001,27.815269940192895
19,CPA_C25,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,226482.6674034314,60709.33999999998,3.73060664806159
20,CPA_C26,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,737100.6143264425,169593.59000000003,4.346276379469545
21,CPA_C27,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,191384.33530639205,106341.87999999996,1.7997080294836996
22,CPA_C28,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,372017.5963125874,118085.82,3.150400245453581
23,CPA_C29,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,185772.25412891703,106401.42000000001,1.7459565307391296
24,CPA_C30,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,192971.38417422725,74160.85,2.602065431750408
25,CPA_C31_32,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,1359468.4245192565,71530.55,19.00542389956818
26,CPA_C33,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,174447.71148680928,20408.48,8.547805200916937
27,CPA_D_BIOGAS,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,0.0680438525363966,0.1477921201697606,0.46040243862959074
28,CPA_D_others,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,323255.8603286869,6678.552207879832,48.40208630057374
29,CPA_E36,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,,279.9599999999999,
30,CPA_E37-39,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,115891.24236350883,4846.669999999998,23.91151911797355
31,CPA_F,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,15355.97147918698,3533.01,4.346427403032252
32,CPA_G45,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,74799.48649569592,14523.629999999997,5.150192238145419
33,CPA_G46,external_imports_direct,target_import_use,air_emissions,CH4 - combustion - air,kg,1556551.3028537943,332582.50999999995,4.680195909441523
